session,speaker,title
12:30 - 13:10 Light lunch and informal networking,,
13:10 - 13:15 Welcome (Vasiliki Koutral),,
13:15 - 14:15 Session 1,Francesca Maher,"The counterfactual patient: digital twins, synthetic controls and the use of AI in trials"
13:15 - 14:15 Session 1,Zihao Pan,Optimal design for networked experiments under response interference
13:15 - 14:15 Session 1,Petrina Chu,Rethinking how Open Dialogue works on recovery outcomes if not through proposed social network mediators
13:15 - 14:15 Session 1,Rundong Zhou,Building a bridge between neural networks and polynomial regression
14:15 - 14:45 Coffee break and sweet treats,,
14:45 - 15:45 Session 2,Kimberley Goldsmith,Estimating intervention effects in post-randomization subgroups: a longitudinal mixed effects principal stratification model
14:45 - 15:45 Session 2,Jiakang Yang,Hypertension status and bone health in older US adults
14:45 - 15:45 Session 2,Lauren Bell,A practical illustration of a simple regression-adjusted average treatment effect estimator in the presence of treatment effect heterogeneity
14:45 - 15:45 Session 2,Claudia Neves,Nonparametric statistical methods for extreme and rare events
15:45 - 16:15 Statistical networking,,
16:15 - 16:30 Wrap up ,,
